id,name,description,industry,location,founded_year,employee_count,revenue_range
132,"Rivera, Johnson and Wiley",machine learning system for observability.,Technology,Finland,2016,2653,500M+
133,White-Estes,AI-powered solution for student analytics.,Education,Norway,2015,3390,100M-500M
134,Johnson-Carlson,predictive engine for fraud detection.,Fintech,France,2009,1672,500M+
135,Chandler-Edwards,AI-powered infrastructure for personalized learning.,Education,USA,2004,999,500M+
136,"Joyce, Wilson and Lam",data-driven platform for fraud detection.,Fintech,Germany,2009,4529,50M-100M
137,Scott Ltd,predictive engine for molecular analysis.,Biotech,France,2008,4087,100M-500M
138,Smith-Frost,automated engine for personalized learning.,Education,Sweden,2001,2001,500M+
139,"Mcdaniel, Bentley and Mclaughlin",machine learning software for vehicle telemetry.,Automotive,Netherlands,2024,1123,500M+
140,Diaz Inc,predictive infrastructure for cloud infrastructure.,Technology,Norway,2022,26,0-1M
141,"Mccall, Hanson and Alvarado",automated software for student analytics.,Education,Sweden,2009,4417,100M-500M
142,Cortez LLC,data-driven solution for renewable energy.,Energy,Finland,2005,1961,500M+
143,"Parker, Ortiz and Powell",data-driven infrastructure for personalized learning.,Education,Norway,1996,3128,50M-100M
144,Spencer-Lee,distributed platform for vehicle telemetry.,Automotive,Germany,2011,4839,100M-500M
145,"Bentley, Byrd and Orr",data-driven infrastructure for fraud detection.,Fintech,Germany,2010,1185,100M-500M
146,"Carroll, Sullivan and Bass",machine learning software for inventory planning.,Retail,Sweden,2005,3261,500M+
147,Mitchell-Jordan,AI-powered engine for personalized learning.,Education,UK,2015,4437,500M+
148,"Lawson, Morris and Ramos",machine learning system for data pipelines.,Technology,Germany,2009,1868,50M-100M
149,"Lewis, Kennedy and Santana",AI-powered software for data pipelines.,Technology,France,2006,242,50M-100M
150,"Jackson, Miller and Robertson",real-time engine for supply chain visibility.,Logistics,USA,2000,1197,50M-100M
151,"Harvey, Davis and Crane",data-driven engine for health data.,Healthcare,UK,2010,4997,500M+
152,Chambers and Sons,automated infrastructure for gene editing.,Biotech,Norway,2003,1907,500M+
153,Hernandez Inc,predictive infrastructure for fraud detection.,Fintech,Germany,2009,3816,100M-500M
154,Riggs PLC,data-driven infrastructure for network optimization.,Telecom,Norway,2022,2455,100M-500M
155,Gibson Ltd,automated platform for smart grid.,Energy,Sweden,2013,3156,100M-500M
156,"Lee, Horton and Snyder",predictive platform for network optimization.,Telecom,France,1995,2428,500M+
157,Hernandez Ltd,automated software for fraud detection.,Fintech,Netherlands,2002,4972,500M+
158,Stafford Inc,cloud-native infrastructure for smart grid.,Energy,Finland,2004,2058,100M-500M
159,Robinson-Brock,distributed infrastructure for fraud detection.,Fintech,Germany,2024,4752,100M-500M
160,"Holmes, Williams and Wright",cloud-native solution for demand forecasting.,Retail,Netherlands,2011,3408,500M+
161,Bryant Group,predictive system for cloud infrastructure.,Technology,Netherlands,2020,1352,50M-100M
162,"Schmidt, Hansen and Stewart",cloud-native solution for student analytics.,Education,Netherlands,1997,621,100M-500M
163,Salazar-Ball,machine learning system for lending.,Fintech,France,2013,2171,100M-500M
164,"Simmons, Meadows and Griffin",real-time system for demand forecasting.,Retail,Netherlands,2024,892,500M+
165,Manning Group,automated infrastructure for renewable energy.,Energy,Sweden,1998,522,50M-100M
166,Green-Wright,predictive system for payments.,Fintech,Germany,2002,309,500M+
167,"Ramirez, Strickland and Washington",automated software for molecular analysis.,Biotech,Sweden,2013,3188,500M+
168,Hill Inc,machine learning system for molecular analysis.,Biotech,Sweden,2003,3403,50M-100M
169,"Mitchell, Nelson and Flores",automated system for demand forecasting.,Retail,Netherlands,1998,1784,500M+
170,"Miller, Hernandez and Reyes",distributed platform for pricing optimization.,Retail,France,2001,4465,50M-100M
171,Mccarthy Inc,real-time infrastructure for personalized learning.,Education,Finland,2020,755,100M-500M
172,Russell-Daniels,real-time platform for energy forecasting.,Energy,UK,2013,1036,50M-100M
173,Brown-Wall,cloud-native engine for smart grid.,Energy,France,2022,2696,50M-100M
174,Stein-Silva,predictive solution for drug discovery.,Biotech,Finland,1999,4430,50M-100M
175,"Smith, Gilmore and Johnston",distributed platform for demand forecasting.,Retail,France,1996,1954,50M-100M
176,Smith-Bell,machine learning infrastructure for route optimization.,Logistics,Norway,2009,4314,100M-500M
177,Castaneda-Ashley,machine learning system for autonomous driving.,Automotive,Finland,2018,4868,500M+
178,Medina-Navarro,automated infrastructure for autonomous driving.,Automotive,Finland,2010,2475,100M-500M
179,"Hurst, Freeman and Nelson",automated infrastructure for supply chain visibility.,Logistics,Germany,2023,889,50M-100M
180,Johnson-Rogers,cloud-native platform for demand forecasting.,Retail,France,2014,4988,500M+
181,"Yates, Ramsey and Pittman",distributed system for network optimization.,Telecom,Norway,2011,4497,500M+
182,Hooper PLC,machine learning infrastructure for route optimization.,Logistics,Sweden,2009,817,50M-100M
183,Meadows PLC,automated system for supply chain visibility.,Logistics,Germany,2005,2781,100M-500M
184,"Alvarado, Miller and Patterson",distributed solution for inventory planning.,Retail,Norway,1997,2093,50M-100M
185,White-Green,data-driven platform for health data.,Healthcare,Netherlands,2020,768,50M-100M
186,Lewis-Murphy,distributed infrastructure for autonomous driving.,Automotive,Sweden,2006,496,500M+
187,Ramirez-Bean,predictive engine for supply chain visibility.,Logistics,Netherlands,1998,426,500M+
188,King-Miller,cloud-native infrastructure for vehicle telemetry.,Automotive,UK,2022,1747,50M-100M
189,Curry Inc,distributed platform for pricing optimization.,Retail,UK,2020,4561,100M-500M
190,Walker-Jones,AI-powered engine for vehicle telemetry.,Automotive,Finland,2000,4565,100M-500M
191,"Williams, Johnson and Wright",distributed platform for data pipelines.,Technology,USA,2013,2788,500M+
192,Howell and Sons,cloud-native infrastructure for route optimization.,Logistics,Germany,2018,575,500M+
193,Wells Inc,data-driven system for renewable energy.,Energy,USA,2006,3086,100M-500M
194,"Gould, Marshall and Scott",machine learning platform for demand forecasting.,Retail,USA,2019,4654,500M+
195,Jackson-Lawson,predictive system for banking analytics.,Fintech,Norway,2014,673,100M-500M
196,"Higgins, Strickland and Martin",real-time engine for route optimization.,Logistics,Netherlands,2008,2242,50M-100M
197,Rodriguez-Johnson,automated engine for observability.,Technology,France,1996,4863,50M-100M
198,Johnston-Odonnell,AI-powered platform for route optimization.,Logistics,France,2001,4914,50M-100M
199,Sanders-Espinoza,distributed platform for data pipelines.,Technology,Norway,2018,2376,100M-500M
200,Vargas Ltd,data-driven engine for molecular analysis.,Biotech,UK,2011,1063,500M+
201,Garcia LLC,data-driven infrastructure for demand forecasting.,Retail,Sweden,1995,595,100M-500M
202,"Burke, Martinez and Riggs",data-driven engine for patient monitoring.,Healthcare,Sweden,2004,2569,50M-100M
203,Reed Group,distributed solution for supply chain visibility.,Logistics,Netherlands,1997,175,50M-100M
204,"Wood, Hunter and Peterson",data-driven engine for patient monitoring.,Healthcare,Germany,2007,1998,100M-500M
205,Short-Garcia,distributed solution for demand forecasting.,Retail,Germany,2011,1820,500M+
206,Reid-Poole,distributed infrastructure for energy forecasting.,Energy,USA,2002,2867,50M-100M
207,"Hernandez, Thompson and Boyd",real-time solution for molecular analysis.,Biotech,USA,2019,2101,500M+
208,"Nelson, Morton and Medina",automated system for health data.,Healthcare,Norway,2016,1456,500M+
209,Marshall-Petersen,distributed solution for network optimization.,Telecom,Germany,2010,2652,100M-500M
210,"Adams, Christian and Rivas",AI-powered software for observability.,Technology,Germany,2004,2255,100M-500M
211,Ramirez Group,AI-powered software for student analytics.,Education,Germany,2015,313,50M-100M
212,Christensen PLC,data-driven system for 5G analytics.,Telecom,Norway,2024,4871,500M+
213,"Barnett, Rogers and Snyder",automated engine for smart grid.,Energy,Finland,2009,2638,50M-100M
214,White-Lewis,cloud-native platform for demand forecasting.,Retail,Norway,2009,695,500M+
215,Peterson-Beard,cloud-native software for vehicle telemetry.,Automotive,France,2007,5000,100M-500M
216,"Beard, Peters and Black",AI-powered infrastructure for inventory planning.,Retail,Netherlands,1997,4902,100M-500M
217,Miller Ltd,data-driven software for patient monitoring.,Healthcare,USA,2005,4575,50M-100M
218,Freeman-Chang,distributed software for network optimization.,Telecom,USA,2014,1163,500M+
219,"Alvarez, Joseph and West",data-driven infrastructure for patient monitoring.,Healthcare,USA,2016,2541,500M+
220,Davis and Sons,data-driven engine for vehicle telemetry.,Automotive,Finland,2006,770,100M-500M
221,Holt-Torres,distributed system for drug discovery.,Biotech,UK,1999,1759,50M-100M
222,"Wood, Tran and Cooper",machine learning engine for health data.,Healthcare,Finland,2016,2428,100M-500M
223,"Pierce, Bell and Chavez",data-driven solution for 5G analytics.,Telecom,USA,2021,1078,500M+
224,King-Martinez,automated platform for network optimization.,Telecom,Netherlands,2016,1361,500M+
225,Stewart Ltd,predictive infrastructure for renewable energy.,Energy,UK,2012,3643,50M-100M
226,"Tapia, Vaughn and Lee",real-time software for observability.,Technology,Norway,2009,3847,100M-500M
227,"Washington, Hardy and Bray",data-driven solution for route optimization.,Logistics,USA,2022,4124,100M-500M
228,"Carlson, Hooper and Wall",distributed engine for payments.,Fintech,Germany,2004,3941,50M-100M
229,Perez-White,automated engine for drug discovery.,Biotech,Sweden,1997,2239,50M-100M
230,Erickson and Sons,AI-powered system for personalized learning.,Education,Sweden,2011,2868,100M-500M
231,Williams-Brown,machine learning software for smart grid.,Energy,Finland,2005,3168,50M-100M
232,Terry-Martinez,cloud-native platform for pricing optimization.,Retail,Norway,2017,1201,50M-100M
233,Garcia-Smith,AI-powered platform for personalized learning.,Education,France,2001,3679,50M-100M
234,Harrison-Alexander,data-driven platform for vehicle telemetry.,Automotive,UK,2004,4992,50M-100M
235,Sheppard LLC,data-driven infrastructure for banking analytics.,Fintech,Germany,1998,1958,100M-500M
236,Wilson-Jones,AI-powered infrastructure for 5G analytics.,Telecom,USA,2004,4396,100M-500M
237,Jones-Soto,real-time engine for banking analytics.,Fintech,USA,2016,2895,500M+
238,Hernandez PLC,distributed platform for health data.,Healthcare,Finland,2007,4293,100M-500M
239,Miller-Wright,distributed software for payments.,Fintech,Netherlands,2020,3174,50M-100M
240,"Duran, Obrien and Gibbs",machine learning engine for inventory planning.,Retail,Netherlands,1999,1980,50M-100M
241,Rowe Group,distributed infrastructure for demand forecasting.,Retail,Norway,2017,4477,100M-500M
242,Kerr-Evans,machine learning infrastructure for gene editing.,Biotech,Finland,2004,1109,50M-100M
243,"Branch, Torres and Oliver",AI-powered software for lending.,Fintech,Sweden,2021,1639,500M+
244,"Choi, Garcia and Farmer",AI-powered infrastructure for personalized learning.,Education,France,2006,2080,50M-100M
245,"Clark, Guerrero and Moore",machine learning software for pricing optimization.,Retail,Sweden,2018,2243,100M-500M
246,Arnold and Sons,cloud-native system for supply chain visibility.,Logistics,Netherlands,2024,2782,500M+
247,Ortiz Ltd,data-driven platform for cloud infrastructure.,Technology,USA,2012,681,100M-500M
248,"Harrison, Johnson and Roberts",machine learning software for inventory planning.,Retail,France,2004,845,100M-500M
249,Warner-Gibson,cloud-native infrastructure for network optimization.,Telecom,Netherlands,2009,3495,50M-100M
250,"Hall, Baker and Moody",predictive infrastructure for demand forecasting.,Retail,Germany,2016,3568,500M+
251,"Guerrero, Peck and Coleman",cloud-native platform for route optimization.,Logistics,Norway,1996,2981,50M-100M
252,"Walker, Hernandez and Baker",distributed software for patient monitoring.,Healthcare,Finland,2014,1938,50M-100M
253,Jones and Sons,distributed system for personalized learning.,Education,USA,2011,3043,100M-500M
254,Larson-Holloway,predictive solution for route optimization.,Logistics,Finland,2018,2580,50M-100M
255,Gonzales-Harrison,data-driven engine for personalized learning.,Education,France,2019,4246,100M-500M
256,Lyons-Bender,predictive infrastructure for student analytics.,Education,UK,1998,1762,50M-100M
257,"Fernandez, Kim and George",cloud-native infrastructure for patient monitoring.,Healthcare,Germany,2020,3708,500M+
258,Navarro-Munoz,machine learning engine for inventory planning.,Retail,France,2023,2851,100M-500M
259,Davis Ltd,distributed engine for drug discovery.,Biotech,Germany,2001,1431,50M-100M
260,"Matthews, Smith and Hubbard",AI-powered software for energy forecasting.,Energy,Netherlands,2009,4052,500M+
261,Johnston-Hines,machine learning software for gene editing.,Biotech,Norway,2011,711,100M-500M
262,Ruiz Ltd,machine learning solution for supply chain visibility.,Logistics,Germany,2009,4714,100M-500M
263,Moon-White,cloud-native engine for autonomous driving.,Automotive,USA,2008,2827,500M+
264,"Graham, Olsen and Costa",cloud-native software for fraud detection.,Fintech,USA,2005,1022,500M+
265,Bailey-Cook,predictive platform for renewable energy.,Energy,UK,2015,2839,500M+
266,"Garcia, Martin and Jenkins",predictive engine for observability.,Technology,Germany,2011,1030,500M+
267,Roberts-Landry,cloud-native solution for molecular analysis.,Biotech,Netherlands,2021,4853,500M+
268,"Johnson, Miller and King",machine learning platform for lending.,Fintech,UK,2019,237,50M-100M
269,Cordova Group,automated infrastructure for network optimization.,Telecom,France,2010,253,50M-100M
270,"Bryan, Smith and Booth",automated platform for route optimization.,Logistics,USA,2009,2441,100M-500M
271,Gutierrez-Lopez,real-time software for personalized learning.,Education,Netherlands,2022,3809,500M+
272,Dean-Jimenez,data-driven solution for pricing optimization.,Retail,Germany,2005,2834,50M-100M
273,Wolf-Harris,predictive system for personalized learning.,Education,USA,1998,1008,50M-100M
274,"Anderson, Roberts and Gilmore",data-driven solution for data pipelines.,Technology,Netherlands,2024,3151,500M+
275,Martinez-Dudley,cloud-native system for inventory planning.,Retail,Norway,2010,1560,100M-500M
276,"Lloyd, Mckinney and Collins",machine learning system for student analytics.,Education,UK,2001,194,50M-100M
277,Tran Inc,predictive system for banking analytics.,Fintech,France,2012,419,50M-100M
278,Gay Inc,cloud-native software for health data.,Healthcare,Netherlands,2019,3535,100M-500M
279,Valentine-Holland,data-driven platform for inventory planning.,Retail,UK,2006,375,500M+
280,Jimenez Ltd,data-driven engine for cloud infrastructure.,Technology,France,2021,607,500M+
281,Hicks-Hill,cloud-native platform for network optimization.,Telecom,Netherlands,2020,978,100M-500M
282,Baird-Sanchez,cloud-native solution for vehicle telemetry.,Automotive,Finland,1996,3000,50M-100M
283,"Thomas, Lee and Greene",automated engine for gene editing.,Biotech,USA,2014,2733,500M+
284,"Suarez, Shields and Hill",distributed solution for gene editing.,Biotech,France,2013,2691,100M-500M
285,Morgan-French,automated infrastructure for vehicle telemetry.,Automotive,Norway,2021,4180,50M-100M
286,Hoover-Campbell,machine learning system for inventory planning.,Retail,France,2020,2718,500M+
287,Monroe-Carpenter,automated software for fraud detection.,Fintech,Finland,2013,4894,100M-500M
288,"Burns, Hernandez and Ryan",data-driven solution for molecular analysis.,Biotech,UK,1996,4299,500M+
289,Cook-Hines,AI-powered system for patient monitoring.,Healthcare,Sweden,1999,1567,100M-500M
290,Gibson-Morris,automated infrastructure for energy forecasting.,Energy,Finland,2017,3366,50M-100M
291,Pollard and Sons,distributed infrastructure for vehicle telemetry.,Automotive,Sweden,2005,1703,50M-100M
292,"Reyes, Chase and Jenkins",distributed engine for student analytics.,Education,France,2014,4372,100M-500M
293,Garner-Thornton,predictive engine for renewable energy.,Energy,UK,2004,2024,100M-500M
294,Hughes-Alvarado,distributed system for renewable energy.,Energy,France,2004,4010,50M-100M
295,"Pollard, Simpson and Johnson",data-driven system for network optimization.,Telecom,USA,2004,4454,50M-100M
296,"Sanford, Rivera and Garcia",distributed system for observability.,Technology,France,2018,652,100M-500M
297,Garcia-Lozano,predictive engine for energy forecasting.,Energy,France,1999,1660,50M-100M
